title,company,location,city,salary
Senior / Staff NLP Engineer (Speech to Text Startup),Recruiting From Scratch,Remote in Los Angeles CA,Los+Angeles,210000.0
Senior Backend Engineer (AI Startup),Recruiting From Scratch,Remote in Cypress CA locations,Los+Angeles,150000.0
Senior Machine Learning Engineer,Recruiting From Scratch,Remote in Hawthorne CA locations,Los+Angeles,175000.0
Senior / Staff NLP Engineer (Speech to Text Startup),Recruiting From Scratch,Remote in Los Angeles CA locations,Los+Angeles,210000.0
Data Scientist,Hewlett Packard Enterprise,San Jose CA North San Jose area,San+Jose,205400.0
Data Scientist,Cimetrix,Santa Clara CA,San+Jose,175000.0
Senior Data Scientist - Autonomous Vehicles,NVIDIA,Santa Clara CA,San+Jose,141075.0
Senior Data Scientist - Autonomous Vehicles,Oski Technology,Santa Clara CA,San+Jose,141075.0
Senior Data Scientist,The Trade Desk,San Jose CA Downtown area,San+Jose,173700.0
"PhD Residency - Computer vision, machine learning and 3d reconstruction",Loon,Mountain View CA,San+Jose,115000.0
Machine Learning Engineer,Oski Technology,Santa Clara CA,San+Jose,209475.0
Senior Systems Engineer (Data Scientist),"General Dynamics Mission Systems, Inc",Hybrid remote in San Jose CA,San+Jose,141850.0
"Staff Cloud Analytics Data Engineer, FinOps",Palo Alto Networks,Santa Clara CA,San+Jose,160600.0
PhD Residency Tapestry - Machine Learning/Time Series,Loon,Mountain View CA,San+Jose,115000.0
Machine Learning Engineer,NVIDIA,Santa Clara CA,San+Jose,209475.0
Development Senior Data Analyst,Second Harvest of Silicon Valley,San Jose CA North San Jose area,San+Jose,78377.0
2022 PhD Residency - Artificial Intelligence,Loon,Mountain View CA,San+Jose,115000.0
Development Senior Data Analyst,Second Harvest Food Bank of Santa Clara and San...,San Jose CA North San Jose area,San+Jose,78377.0
Head of Machine Learning - Watson Orders,IBM,Mountain View CA,San+Jose,274840.0
Applied AI/ML Engineer,"JPMorgan Chase Bank, N.A.",Palo Alto CA,San+Jose,156625.0
Lead ML Engineer – Speech Recognition - Watson Orders,IBM,Mountain View CA,San+Jose,181000.0
Senior ML Engineer - Watson Orders,IBM,Mountain View CA,San+Jose,181000.0
"VP, Machine Learning - Telecommute",UnitedHealth Group,Remote in Mountain View CA,San+Jose,253400.0
"Engineering Manager, Ads Machine Learning",Snapchat,Palo Alto CA,San+Jose,242500.0
Senior Distributed Systems Engineer - AI,Oski Technology,Santa Clara CA,San+Jose,192375.0
AI/ML Engagement (Business Process Analyst 5) -9050,HII,Mountain View CA,San+Jose,139011.0
Senior Distributed Systems Engineer - AI,NVIDIA,Santa Clara CA,San+Jose,192375.0
"Senior DevOps Engineer, AI Services",NVIDIA,Santa Clara CA,San+Jose,149625.0
"Senior DevOps Engineer, AI Services",Oski Technology,Santa Clara CA,San+Jose,149625.0
Staff Data Engineer - Cloud Analytics,Palo Alto Networks,Santa Clara CA,San+Jose,160600.0
Executive Director Biostatistics and Stats Programming,Eikon Therapeutics,Hayward CA Glen Eden area,San+Jose,280500.0
"Senior Performance Software Engineer, AI Applications",Oski Technology,Santa Clara CA,San+Jose,192375.0
"Senior Performance Software Engineer, AI Applications",NVIDIA,Santa Clara CA,San+Jose,192375.0
Data Scientist,proit-inc,Sunnyvale CA East Murphy area,San+Jose,113821.5
Mathematical Scientist,Pit.AI Technologies Inc.,San Jose CA North San Jose area,San+Jose,72000.0
Machine Learning Engineer,Apolis,San Jose CA Willow Glen area,San+Jose,135000.0
Principal Data Scientist,"TLR Ventures, Inc.",Redwood City CA Marine area,San+Jose,262500.0
Principal Researcher – Data Platform/Scientist,Emonics LLC,Mountain View CA Old Mountain View area,San+Jose,120000.0
Marketing Manager - Data Center,Socionext America,Milpitas CA,San+Jose,127593.0
Sr. Data Scientist,Ariat International,Hybrid remote in Union City CA,San+Jose,72000.0
Senior Data Analyst,Pixelberry Studios,Remote in Mountain View CA,San+Jose,105000.0
"Senior Data Scientist, Growth",Recruiting From Scratch,Saratoga CA,San+Jose,160000.0
Associate Director of Data Science,Va Palo Alto Health Care System,Palo Alto CA,San+Jose,151153.5
Technical Program manager with NLP and Speech Recognition - Fulltime,swiftlysiri,Mountain View CA,San+Jose,143606.0
"Staff Machine Learning Engineer, Computer Vision",Peloton,Hybrid remote in Santa Clara CA,San+Jose,254400.0
Machine Learning Engineer,PLAXONIC,Mountain View CA Cuesta Park area,San+Jose,125000.0
Senior Machine Learning Engineer,Recruiting From Scratch,Remote in Saratoga CA locations,San+Jose,175000.0
NLP Engineer - fulltime,swiftlysiri,Mountain View CA,San+Jose,72000.0
Big Data Engineer - PySpark,Logic20/20 Inc.,San Jose CA,San+Jose,72000.0
Senior Program Manager - Machine Learning,identifeye HEALTH Inc.,Remote in Palo Alto CA location,San+Jose,142500.0
Senior Backend Engineer (AI Startup),Recruiting From Scratch,Remote in Saratoga CA locations,San+Jose,150000.0
"Software Engineer, Machine Learning Platform",Lacework,Remote in Mountain View CA,San+Jose,218500.0
Senior / Staff NLP Engineer (Speech to Text Startup),Recruiting From Scratch,Remote in Santa Clara CA locations,San+Jose,210000.0
Staff Software Engineer - Machine Learning Platform & Pipelines,Signifyd,Remote in San Jose CA,San+Jose,72000.0
"Senior Staff Engineer(Technical Director, Hands-On Coding, Distributed Systems )",Cohesity,Remote in San Jose CA,San+Jose,72000.0
Data Scientist,University of Phoenix,Phoenix AZ Central City area,Phoenix,71700.0
Data Science Associate,EdPlus at Arizona State University,Hybrid remote in Scottsdale AZ,Phoenix,65800.0
Sr Data Scientist,University of Phoenix,Phoenix AZ Central City area,Phoenix,90000.0
Statistical Analyst (Remote),Pearson,Remote in Phoenix AZ,Phoenix,59000.0
Engineer- Java/Machine Learning,Amex,Phoenix AZ,Phoenix,117500.0
"Director, Marketing Data Science (Virtual)",University of Phoenix,Phoenix AZ Central City area,Phoenix,156150.0
"Executive Director, Data Science - Pricing Analytics",CVS Health,Scottsdale AZ North Scottsdale area,Phoenix,252500.0
Senior Statistical Programmer - Quantitative Health Sciences,Mayo Clinic,Scottsdale AZ North Scottsdale area,Phoenix,88587.0
Research & Statistical Analyst Senior,Arizona Healthcare,Phoenix AZ Central City area,Phoenix,79000.0
Senior Machine Learning Engineer,Viasat,Tempe AZ,Phoenix,72000.0
Data Scientist,Zodiac-Solutions,Phoenix AZ Central City area,Phoenix,120000.0
Data Scientist,Master Electronics,Phoenix AZ Central City area,Phoenix,75000.0
Machine Learning Engineer,Emonics LLC,Phoenix AZ Central City area,Phoenix,117500.0
Game Mathematician,Design Works Gaming,Hybrid remote in Scottsdale AZ,Phoenix,72000.0
"Senior Data Scientist, Growth",Recruiting From Scratch,Phoenix AZ Central City area locations,Phoenix,160000.0
"Senior Data Analyst, Federal Civilian (remote)",Ad Hoc Team,Remote in Phoenix AZ,Phoenix,98800.0
Entry Level Machine Learning Engineer - 482040,I28 Technologies Corporation,Phoenix AZ Central City area,Phoenix,52000.0
Senior Machine Learning Engineer,Recruiting From Scratch,Remote in Phoenix AZ locations,Phoenix,175000.0
Senior Backend Engineer (AI Startup),Recruiting From Scratch,Remote in Mesa AZ,Phoenix,150000.0
"Senior Data Scientist, Growth",Recruiting From Scratch,Phoenix AZ Central City area,Phoenix,160000.0
Senior Machine Learning Engineer,Recruiting From Scratch,Remote in Phoenix AZ,Phoenix,175000.0
"Senior Data Scientist, Analytics",Discord,Hybrid remote in San Francisco CA,Menlo+Park,72000.0
"Data Scientist, Growth",Notion,San Francisco CA Mission area,Menlo+Park,207500.0
Machine Learning Engineer,Oski Technology,Santa Clara CA location,Menlo+Park,209475.0
Machine Learning Engineer,NVIDIA,Santa Clara CA location,Menlo+Park,209475.0
Senior Data Scientist,Everlane,Remote in San Francisco CA,Menlo+Park,128000.0
"Senior Software Engineer - Machine Learning, Homefeed & Notifications",Discord,Hybrid remote in San Francisco CA,Menlo+Park,72000.0
"Senior Machine Learning Infrastructure Engineer - Detection Infrastructure, Safety",Discord,Remote in San Francisco CA,Menlo+Park,72000.0
SENIOR INVESTMENT DATA ANALYST,University of California Office of the President,Hybrid remote in Oakland CA,Menlo+Park,146500.0
"Senior Performance Software Engineer, AI Applications",Oski Technology,Santa Clara CA locations,Menlo+Park,192375.0
"Senior Performance Software Engineer, AI Applications",NVIDIA,Santa Clara CA locations,Menlo+Park,192375.0
"Senior Data Scientist, Growth",Recruiting From Scratch,Menlo Park CA,Menlo+Park,160000.0
Data Science Engineering Manager,Ask Media Group,Remote in Oakland CA,Menlo+Park,170000.0
Senior Machine Learning Engineer,Recruiting From Scratch,Remote in Menlo Park CA locations,Menlo+Park,175000.0
Big Data Engineer - PySpark,Logic20/20 Inc.,San Jose CA location,Menlo+Park,72000.0
Senior Backend Engineer (AI Startup),Recruiting From Scratch,Remote in Menlo Park CA locations,Menlo+Park,150000.0
Senior / Staff NLP Engineer (Speech to Text Startup),Recruiting From Scratch,Remote in Menlo Park CA locations,Menlo+Park,210000.0
Data Scientist,US Geological Survey,Remote in Vancouver WA,Portland,116130.5
College Graduate - Data Science (BS/MS/PHD),INTEL,Hybrid remote in Hillsboro OR,Portland,128060.0
Senior Data Analyst,U.S. Bank National Association,Portland OR,Portland,108132.5
Lead Machine Learning Engineer (Remote Option*),Nike,Remote in Beaverton OR,Portland,192500.0
Data Scientist / Machine Learning Engineer in California or Oregon,Bright Apps LLC,Remote in Portland OR,Portland,110000.0
Senior Data Scientist,Recruiting From Scratch,Remote in Portland OR locations,Portland,192500.0
Statistician,VA Portland Health Care System,Portland OR Homestead area,Portland,108100.0
"Senior Data Analyst, Federal Civilian (remote)",Ad Hoc Team,Remote in Portland OR,Portland,98800.0
Senior / Staff NLP Engineer (Speech to Text Startup),Recruiting From Scratch,Remote in Portland OR,Portland,210000.0
Senior Machine Learning Engineer,Recruiting From Scratch,Remote in Portland OR,Portland,175000.0
Senior Machine Learning Engineer,Recruiting From Scratch,Remote in Portland OR locations,Portland,175000.0
Principal Machine Learning Engineer (Pre-IPO Startup),Recruiting From Scratch,Remote in Portland OR,Portland,175000.0
Senior Machine Learning Engineer (Pre-IPO Startup),Recruiting From Scratch,Hybrid remote in Portland OR,Portland,250000.0
Senior Data Analyst,Ryder System,Miami FL Flagami area,Miami,82500.0
Interdisciplinary Survey Statistician/Fish Biologist,US National Oceanic and Atmospheric Administration,Miami FL,Miami,92580.0
"Director, Artificial Intelligence Center",Miami Dade College,Miami FL Downtown area,Miami,99640.0
Data Scientist,LevelEsq,Miami FL Downtown area,Miami,112722.5
Data Scientist,Florida International University,Miami FL,Miami,100000.0
Senior Data Scientist,Recruiting From Scratch,Remote in Miami FL,Miami,192500.0
"Senior Data Scientist, Marketing",Recruiting From Scratch,Miami FL,Miami,160000.0
"Senior Data Scientist, Growth",Recruiting From Scratch,Miami FL,Miami,160000.0
Senior Machine Learning Engineer,Recruiting From Scratch,Remote in Miami FL,Miami,175000.0
Senior Backend Engineer (AI Startup),Recruiting From Scratch,Remote in Miami FL,Miami,150000.0
Senior / Staff NLP Engineer (Speech to Text Startup),Recruiting From Scratch,Remote in Miami FL,Miami,210000.0
Principal Machine Learning Engineer (Pre-IPO Startup),Recruiting From Scratch,Remote in Miami FL,Miami,175000.0
Senior Machine Learning Engineer (Pre-IPO Startup),Recruiting From Scratch,Hybrid remote in Miami FL,Miami,250000.0
"Senior Data Scientist, Growth",Recruiting From Scratch,Miami FL locations,Miami,160000.0
Senior Machine Learning Engineer,Recruiting From Scratch,Remote in Miami FL locations,Miami,175000.0
"Senior Data Scientist, Growth",Recruiting From Scratch,Menlo Park CA locations,Palo+Alto,160000.0
Senior Program Manager - Machine Learning,identifeye HEALTH Inc.,Remote in Palo Alto CA,Palo+Alto,142500.0
Senior Backend Engineer (AI Startup),Recruiting From Scratch,Remote in Menlo Park CA,Palo+Alto,150000.0
Senior Machine Learning Engineer,Recruiting From Scratch,Remote in Redwood City CA,Palo+Alto,175000.0
Senior / Staff NLP Engineer (Speech to Text Startup),Recruiting From Scratch,Remote in San Carlos CA locations,Palo+Alto,210000.0
Senior / Staff NLP Engineer (Speech to Text Startup),Recruiting From Scratch,Remote in San Carlos CA,Palo+Alto,210000.0
Lead Data Scientist,WarnerMedia,San Francisco CA,San+Francisco,168000.0
Senior Data Scientist,WarnerMedia,San Francisco CA,San+Francisco,168000.0
Sr Data Scientist,Disney Media & Entertainment Distribution,San Francisco CA,San+Francisco,178145.0
Sr Principal Data Scientist - Telecommute,UnitedHealth Group,Remote in San Francisco CA,San+Francisco,165800.0
Senior Data Scientist - Search & Recommendation,Faire,Remote in San Francisco CA,San+Francisco,185250.0
Data Science Engineer,Clarify Health Solutions.,San Francisco CA,San+Francisco,150000.0
Data Analyst (1823 - Senior Administrative Analyst),City and County of San Francisco,San Francisco CA Mission area,San+Francisco,122538.0
Senior Expert - Data Science,Novartis,Hybrid remote in Emeryville CA,San+Francisco,72000.0
"Data Scientist Lead (West Sacramento, CA)",Gainwell Technologies LLC,San Francisco CA Financial District area,San+Francisco,99250.0
Staff Machine Learning Platform Engineer,Faire,Remote in San Francisco CA,San+Francisco,236500.0
Data Architect (0652U) - Berkeley Institute for Data Science (BIDS) /CLEAN Initiative,University of California Berkeley,Remote in Berkeley CA locations,San+Francisco,115000.0
Machine Learning Engineer,"Zoom Video Communications, Inc.",Remote in San Francisco Bay Area CA,San+Francisco,171050.0
"Senior Data Analyst, Internal Audit, Data Analytics and Automation",First Republic Bank,San Francisco CA Financial District South Beach area,San+Francisco,122750.0
Associate Specialist - Natural Languages/Deep Learning Technology - Department of Electrical Engineering & Computer Sciences,University of California Berkeley,Berkeley CA,San+Francisco,72950.0
Senior Data Engineer (remote),Cognizant Technology Solutions,Remote in San Francisco CA,San+Francisco,137500.0
Senior Machine Learning Engineer,Brave,Remote in San Francisco CA,San+Francisco,85000.0
Sr ML Engineer - Telecommute,UnitedHealth Group,Remote in San Francisco CA,San+Francisco,114500.0
Data Scientist,Tubi,Remote in San Francisco CA,San+Francisco,144500.0
"Staff Data Scientist - Inference, Quality & Community",Airbnb,Remote in San Francisco CA location,San+Francisco,212500.0
"Senior Data Scientist - Inference, People Analytics",Airbnb,San Francisco CA South of Market area locations,San+Francisco,177750.0
Senior Data Scientist,Tubi,Remote in San Francisco CA,San+Francisco,172125.0
Senior Data Analyst,CodeSignal,Remote in San Francisco CA,San+Francisco,182500.0
Senior Data Scientist,Gemini,San Francisco CA,San+Francisco,163000.0
Senior Data Scientist,Recruiting From Scratch,Remote in Pacifica CA,San+Francisco,192500.0
Acoustic Data Scientist,Liminal Insights,Hybrid remote in Emeryville CA,San+Francisco,150000.0
Senior Data Science Consultant,Sia Partners,Hybrid remote in San Francisco CA locations,San+Francisco,123500.0
Founding Machine Learning Engineer,Sonnet,Hybrid remote in Berkeley CA,San+Francisco,125000.0
Applied Machine Learning Scientist,Liminal Insights,Emeryville CA,San+Francisco,150000.0
"Senior Data Analyst, Federal Civilian (remote)",Ad Hoc Team,Remote in San Francisco CA,San+Francisco,98800.0
Senior Machine Learning Engineer,Tubi,Remote in San Francisco CA,San+Francisco,223500.0
Staff Software Engineer - Machine Learning Platform,Sift,Remote in San Francisco CA,San+Francisco,222500.0
"Senior Product Manager, Machine Learning",Tubi,Remote in San Francisco CA,San+Francisco,183000.0
Big Data Engineer - PySpark,Logic20/20 Inc.,San Francisco CA location,San+Francisco,72000.0
Senior / Staff NLP Engineer (Speech to Text Startup),Recruiting From Scratch,Remote in Brisbane CA,San+Francisco,210000.0
"Senior Tech Lead, Machine Learning",Tubi,Remote in San Francisco CA,San+Francisco,211000.0
Senior Backend Engineer (AI Startup),Recruiting From Scratch,Remote in Pacifica CA,San+Francisco,150000.0
Senior Machine Learning Engineer,Recruiting From Scratch,Remote in Redwood City CA locations,San+Francisco,175000.0
Senior Backend Engineer (AI Startup),Recruiting From Scratch,Remote in Pacifica CA locations,San+Francisco,150000.0
DATA SCIENTIST,US Naval Sea Systems Command,Keyport WA,Washington,119810.5
Senior Data Scientist,Microsoft,Redmond WA Overlake area locations,Washington,165200.0
decision scientist sr. – Test & Learn - Store,Starbucks,Hybrid remote in Seattle WA,Washington,157000.0
Data Scientist,ASSURANCE,Seattle WA,Washington,135000.0
Lead Staff Data Scientist,The Trade Desk,Bellevue WA,Washington,231450.0
Sr Data Scientist - Innovation,Lowe's,Kirkland WA Totem Lake area,Washington,137500.0
Data Privacy Architect,Cognizant Technology Solutions,Remote in Seattle WA,Washington,165000.0
Statistical Analyst (Remote),Pearson,Remote in Olympia WA,Washington,59000.0
"Senior Deep Learning Scientist, Mapping and Localization - Autonomous Vehicles",Oski Technology,Redmond WA locations,Washington,226575.0
Sr Applied Scientist - Machine Learning - Telecommute,UnitedHealth Group,Remote in Bellevue WA,Washington,114500.0
Senior Data Scientist,ASSURANCE,Seattle WA,Washington,175000.0
"Director I, Data Science, Product Design & Modeling",Liberty Mutual Insurance,Seattle WA Downtown area,Washington,159200.0
AWS Data Architect,Cognizant,Remote in Seattle WA,Washington,175000.0
Lead Data Scientist,S&P Global,Remote in Seattle WA,Washington,160000.0
Data Scientist Senior,Peraton,Fort Lewis WA,Washington,72000.0
Senior Principal Applied Scientist - Telecommute,UnitedHealth Group,Remote in Bellevue WA location,Washington,165800.0
Senior Data Analyst,Woodland Park Zoo,Seattle WA Woodland area,Washington,95500.0
"Senior Deep Learning Scientist, Mapping and Localization - Autonomous Vehicles",NVIDIA,Redmond WA locations,Washington,226575.0
Cannabis Lab Analysis Standards Program Lead Chemist,Washington State Department of Agriculture,Olympia WA Downtown area,Washington,84708.0
Applied AI ML Lead,"JPMorgan Chase Bank, N.A.",Seattle WA,Washington,191125.0
Manager of Data Science,The Trade Desk,Seattle WA location,Washington,231450.0
"Principal Deep Learning Scientist, Prediction - Autonomous Vehicles",NVIDIA,Redmond WA,Washington,273600.0
"Director of Trusted AI Product Management, Office of Data Science (remote)",Liberty Mutual Insurance,Remote in Seattle WA,Washington,156750.0
Executive Director-AI ML Product Management,"JPMorgan Chase Bank, N.A.",Seattle WA,Washington,213500.0
"Principal Deep Learning Scientist, Prediction - Autonomous Vehicles",Oski Technology,Redmond WA,Washington,273600.0
senior machine learning engineer,Starbucks,Hybrid remote in Seattle WA,Washington,151300.0
Cannabis Lab Analysis Standards Program Lead Microbiologist,Washington State Department of Agriculture,Olympia WA Downtown area,Washington,63006.0
Cannabis Lab Analysis Standards Program Lead Microbiologist,State of Washington Dept. of Agriculture,Olympia WA,Washington,63006.0
Vice President-Applied AI ML,"JPMorgan Chase Bank, N.A.",Seattle WA,Washington,191125.0
Senior/Principal Machine Learning Engineer,ASSURANCE,Seattle WA,Washington,195000.0
Vice President-AI ML Product Manager,"JPMorgan Chase Bank, N.A.",Seattle WA,Washington,149500.0
Data Scientist,PerfectRec,Remote in Seattle WA,Washington,215000.0
Data Scientist,Emonics LLC,Redmond WA location,Washington,135000.0
Data Scientist,Global Dimensions,Tacoma WA New Tacoma area,Washington,205000.0
Senior Marketing Data Scientist,Rec Room,Remote in Seattle WA locations,Washington,185000.0
Lead Applied Data Scientist,Amperity,Remote in Seattle WA,Washington,210000.0
Senior Data Scientist,NNData,Tacoma WA,Washington,72000.0
Senior Data Scientist,Recruiting From Scratch,Remote in Queen Anne WA locations,Washington,192500.0
Signal Processing and Machine Learning Engineer,Wavely Diagnostics,Hybrid remote in Seattle WA,Washington,125000.0
Senior Machine Learning Engineer,Rec Room,Remote in Seattle WA,Washington,185000.0
Software Engineer with AI & ML(W2),Phasorsoft LLC,Seattle WA,Washington,140318.5
Senior Statistical Programmer,Discover International,Hybrid remote in Seattle WA,Washington,126722.5
Senior / Staff NLP Engineer (Speech to Text Startup),Recruiting From Scratch,Remote in Seattle WA,Washington,210000.0
Senior Backend Engineer (AI Startup),Recruiting From Scratch,Remote in Queen Anne WA,Washington,150000.0
Big Data Engineer - PySpark,Logic20/20 Inc.,Seattle WA Ravenna area,Washington,72000.0
Senior Machine Learning Engineer,Recruiting From Scratch,Remote in Seattle WA,Washington,175000.0
Applied Machine Learning Engineer,ClientSolv Technologies,Remote in Seattle WA,Washington,140000.0
"Senior Software Engineer, Machine Learning",Rec Room,Remote in Seattle WA,Washington,185000.0
Senior / Staff NLP Engineer (Speech to Text Startup),Recruiting From Scratch,Remote in Seattle WA locations,Washington,210000.0
Senior Backend Engineer (AI Startup),Recruiting From Scratch,Remote in Queen Anne WA locations,Washington,150000.0
Senior Machine Learning Engineer,Recruiting From Scratch,Remote in Seattle WA locations,Washington,175000.0
Principal Machine Learning Engineer (Pre-IPO Startup),Recruiting From Scratch,Remote in Queen Anne WA,Washington,175000.0
Senior Machine Learning Engineer (Pre-IPO Startup),Recruiting From Scratch,Hybrid remote in Seattle WA,Washington,250000.0
Atmospheric Data Scientist,UC San Diego,San Diego CA locations,San+Diego,83250.0
Associate Director - Data Science,Novartis,San Diego CA Torrey Pines area,San+Diego,240000.0
Data Science Project Manager - Remote,UC San Diego,Hybrid remote in San Diego CA,San+Diego,95500.0
Machine Learning Software Engineer,Leidos,San Diego CA University City area,San+Diego,115000.0
Data Scientist I,"Knowesis, Inc.",Coronado CA,San+Diego,88500.0
Data Analyst / Scientist,"Sancorp Consulting, LLC",Hybrid remote in San Diego CA,San+Diego,72000.0
Senior Data Scientist,Biological Dynamics,San Diego CA University City area,San+Diego,180000.0
"Senior Data Scientist, Growth",Recruiting From Scratch,San Diego CA,San+Diego,160000.0
Applied Mathematician - Probabilistic Physics Simulation,RobustPhysics,San Diego CA Carmel Valley area,San+Diego,110000.0
Senior Backend Engineer (AI Startup),Recruiting From Scratch,Remote in San Diego CA,San+Diego,150000.0
Senior Machine Learning Engineer,Recruiting From Scratch,Remote in San Diego CA,San+Diego,175000.0
Senior / Staff NLP Engineer (Speech to Text Startup),Recruiting From Scratch,Remote in San Diego CA location,San+Diego,210000.0
Big Data Engineer - PySpark,Logic20/20 Inc.,San Diego CA,San+Diego,72000.0
Senior Machine Learning Engineer,Recruiting From Scratch,Remote in San Diego CA locations,San+Diego,175000.0
Senior Backend Engineer (AI Startup),Recruiting From Scratch,Remote in San Diego CA location,San+Diego,150000.0
Senior / Staff NLP Engineer (Speech to Text Startup),Recruiting From Scratch,Remote in San Diego CA,San+Diego,210000.0
Data Scientist II (Remote),Inland Empire Health Plans,Remote in Rancho Cucamonga CA,Ontario,143624.0
Data Scientist (REMOTE),"Foot Locker Corporate Services, Inc.",Tampa FL Downtown area,Florida,112500.0
Lead Data Scientist,CVS Health,Remote in Florida,Florida,152000.0
Statistical Data Analyst,University of South Florida,Saint Petersburg FL Albert Whitted Airport area,Florida,69975.0
Statistical Analyst (Remote),Pearson,Remote in Tallahassee FL,Florida,59000.0
Data Scientist / Principal Data Scientist,Northrop Grumman,Melbourne FL,Florida,97900.0
Lead Data Scientist,S&P Global,Remote in Tallahassee FL,Florida,160000.0
MLOps - Machine Learning Engineer II,Navy Federal Credit Union,Pensacola FL,Florida,129550.0
Machine Learning Engineer,ADT,Remote in Boca Raton FL,Florida,92800.0
"Senior Director, Research and Data Science",Broward College,Fort Lauderdale FL,Florida,83675.5
Sr Digital Marketing Data Analyst - Paid Search,RiseIT Solutions,Orlando FL,Florida,72000.0
AWS Big Data Architect (remote),Cognizant Technology Solutions,Remote in Alachua FL,Florida,150000.0
HBOI Postdoctoral Fellow - Application of Machine Learning and Robotics,Florida Atlantic University,Fort Pierce FL,Florida,72000.0
Senior Data Analyst (Hybrid),Triad Financial Services Inc,Jacksonville FL Beach Haven area,Florida,70000.0
Lead-Principal Software Engineer-Digital Machine Learning,Publix,Lakeland FL Downtown area,Florida,161395.0
Lead Data Scientist,VistaJet,Remote in Fort Lauderdale FL,Florida,165000.0
Data Scientist,PLAXONIC,Tampa FL,Florida,110000.0
Data Architect (Talent Services),Trellance,Tampa FL Tampa International Airport area,Florida,160000.0
Principal Data Scientist,XO,Fort Lauderdale FL,Florida,165000.0
Data Engineer,TheIncLab,Hybrid remote in Tampa FL,Florida,105000.0
"Senior Data Analyst, Federal Civilian (remote)",Ad Hoc Team,Remote in Orlando FL,Florida,98800.0
Data Engineer,Satcom Direct,Melbourne FL,Florida,90000.0
Machine Learning Engineer,XO,Fort Lauderdale FL,Florida,155000.0
Lead Data Scientist,XO,Fort Lauderdale FL,Florida,165000.0
Senior Data Analyst,"Gateway Community Services, Inc.",Hybrid remote in Jacksonville FL,Florida,87500.0
Jr. Artificial Intelligence/Machine Learning Engineer,Rincon Research Corp,Palm Bay FL,Florida,72000.0
Principal Data Scientist,VistaJet,Fort Lauderdale FL,Florida,165000.0
Senior Financial Data Analyst- Hybrid,InCharge Debt Solutions,Hybrid remote in Orlando FL,Florida,72000.0
Senior Machine Learning Engineer,Recruiting From Scratch,Remote in Clearwater FL,Florida,175000.0
Machine Learning Engineer,VistaJet,Remote in Fort Lauderdale FL,Florida,155000.0
Senior / Staff NLP Engineer (Speech to Text Startup),Recruiting From Scratch,Remote in Clearwater FL,Florida,210000.0
Senior Machine Learning Engineer,Recruiting From Scratch,Remote in Clearwater FL locations,Florida,175000.0
Senior / Staff NLP Engineer (Speech to Text Startup),Recruiting From Scratch,Remote in Clearwater FL location,Florida,210000.0
Senior Machine Learning Engineer (Pre-IPO Startup),Recruiting From Scratch,Hybrid remote in Clearwater FL,Florida,250000.0
Principal Machine Learning Engineer (Pre-IPO Startup),Recruiting From Scratch,Remote in Clearwater FL,Florida,175000.0
data scientist sr- People Analytics (Remote),Starbucks,Remote in Seattle WA,Seattle,157300.0
"Senior Deep Learning Scientist, Prediction - Autonomous Vehicles",Oski Technology,Redmond WA locations,Seattle,226575.0
Manager of Data Science,The Trade Desk,Seattle WA,Seattle,231450.0
Data Scientist,Emonics LLC,Redmond WA,Seattle,135000.0
Senior Data Scientist,Recruiting From Scratch,Remote in Queen Anne WA,Seattle,192500.0
Senior Marketing Data Scientist,Rec Room,Remote in Seattle WA,Seattle,185000.0
Senior Backend Engineer (AI Startup),Recruiting From Scratch,Remote in Seattle WA,Seattle,150000.0
Senior / Staff NLP Engineer (Speech to Text Startup),Recruiting From Scratch,Remote in Seattle WA location,Seattle,210000.0
CCB_Data and Analytics- Data Scientist Analyst Expert,"JPMorgan Chase Bank, N.A.",Wilmington DE,Philadelphia,159250.0
Data Scientist Fellowship - 1 Year,Tech Impact,Hybrid remote in Wilmington DE,Philadelphia,72000.0
Senior Data Analyst,IKEA,Conshohocken PA,Philadelphia,122887.5
Data Scientist,Comcast,Philadelphia PA,Philadelphia,109873.5
AI Engineer,SKF,Lansdale PA,Philadelphia,123500.0
Sr. Data Analyst (R283),Sompo International,Conshohocken PA,Philadelphia,72000.0
Senior Data Analyst,The School District Of Philadelphia,Philadelphia PA,Philadelphia,80902.5
Artificial Intelligence / Machine Learning Programmer,TechSpeed,Philadelphia PA,Philadelphia,60000.0
Sr. Data Analyst,Effectv,Philadelphia PA,Philadelphia,94633.5
DMV & Statistical Reporting Analyst,AXA,Exton PA,Philadelphia,62750.0
Senior Planner/Data Analyst,Montgomery County Pennsylvania,Norristown PA,Philadelphia,57635.0
AI/ML Engineer,"The Stratagem Group, Inc",King of Prussia PA,Philadelphia,120000.0
"Director, Data Platform Strategy",Lincoln Financial,Radnor PA,Philadelphia,131300.0
Machine Learning Ops Engineer,USI Holdings Corporation,Remote in West Chester PA,Philadelphia,115000.0
"Sr Director, Machine Learning - REMOTE",FreeWheel,Remote in Philadelphia PA location,Philadelphia,222103.5
Senior AI/ML Engineer,"The Stratagem Group, Inc",King of Prussia PA,Philadelphia,167500.0
Senior Natural Language Processing (NLP) Engineer / Architect,"The Stratagem Group, Inc",King of Prussia PA,Philadelphia,167500.0
Senior Computer Vision AI/ML Engineer,"The Stratagem Group, Inc",King of Prussia PA,Philadelphia,187500.0
